Event,Count,SysTime
Lick1,1,526580.93587199994
Lick1,2,526581.07183999999
Lick1,0,526581.20982400002
Feed1,168,526581.21782400005
Lick1,1,526581.34582399996
Lick1,2,526581.47984000004
Lick1,0,526581.71782400005
Feed1,169,526581.72982400004
Lick1,1,526582.05782400002
Lick1,2,526582.19382399996
Lick1,0,526582.46784000006
Feed1,170,526582.47583999997
Lick1,1,526582.60182400001
Lick1,2,526583.00783999998
Lick1,0,526583.14384000003
Feed1,171,526583.15584000002
Lick1,1,526583.38384000002
Lick1,2,526584.199808
Lick1,0,526584.33580799995
Feed1,172,526584.34780800005
Lick1,1,526584.97779200005
Lick1,2,526585.21980800002
Lick1,0,526586.13779199996
Feed1,173,526586.145792
Lick1,1,526586.47779200005
Lick1,2,526586.61180800002
Lick1,0,526586.81779200002
Feed1,174,526586.82579200005
Lick1,1,526587.05580800003
Lick1,2,526587.18979199999
Lick1,0,526587.56380799995
Feed1,175,526587.57580800005
Lick1,1,526587.69779200002
Lick1,2,526588.06975999998
Lick1,0,526588.27577599999
Feed1,176,526588.28777599998
Lick1,1,526588.40975999995
Lick1,2,526588.54975999997
Lick1,0,526588.92176000006
Feed1,177,526588.93376000004
Lick1,1,526589.05776
Lick1,2,526589.32777600002
Lick1,0,526589.46777600003
Feed1,178,526589.47577599995
Lick1,1,526589.63577599998
Lick1,2,526589.76976000005
Lick1,0,526589.90575999999
Feed1,179,526589.91775999998
Lick1,1,526590.04377600003
Lick1,2,526590.17977599998
Lick1,0,526590.31577600003
Feed1,180,526590.32777600002
Lick1,1,526590.82377599995
Lick1,2,526591.09772800002
Lick1,0,526591.67574400001
Feed1,181,526591.687744
Lick1,1,526591.80972799996
Lick1,2,526592.48972800002
Lick1,0,526592.62572799996
Feed1,182,526592.63772799994
Lick1,1,526592.75974400004
Lick1,2,526592.89974400005
Lick1,0,526593.30572800001
Feed1,183,526593.31772799999
Lick1,1,526593.43974399997
Lick1,2,526594.25571199995
Lick1,0,526594.79971199995
Feed1,184,526594.81171200005
Lick1,1,526595.31171200005
Lick1,2,526595.44771199999
Lick1,0,526596.02371199999
Feed1,185,526596.03571199998
Lick1,1,526596.76969600003
Lick1,2,526596.90969600005
Lick1,0,526597.38367999997
Feed1,186,526597.39168
Lick1,1,526597.55168000003
Lick0,2,526601.18963200005
Lick1,0,526601.19763199997
Feed1,187,526601.20963199995
Lick0,1,526601.97164799995
Lick1,2,526601.97964799998
Lick0,0,526601.999648
Feed0,12,526602.00764800003
Lick1,1,526602.06963200006
Lick1,2,526602.31164800003
Lick1,0,526602.44764799997
Feed1,188,526602.45964799996
Lick1,1,526602.85164799995
Lick1,2,526602.955648
Lick1,0,526603.08959999995
Feed1,189,526603.10160000005
Lick1,1,526603.4656
Lick1,2,526603.80559999996
Lick1,0,526604.04361599998
Feed1,190,526604.05161600001
Lick1,1,526604.68761599995
Lick1,2,526604.82160000002
Lick1,0,526605.09759999998
Feed1,191,526605.10959999997
Lick1,1,526605.367616
Lick1,2,526605.67359999998
Lick1,0,526605.77561600006
