Event,Count,SysTime
Feed1,10425,3835.1955200000002
Lick1,1,3835.31952
Lick1,2,3835.4215039999999
Lick1,0,3835.9335040000001
Feed1,10426,3835.9495040000002
Lick1,1,3836.0355199999999
Lick1,2,3836.1755199999998
Lick1,0,3836.5155199999999
Feed1,10427,3836.53152
Lick1,1,3836.6175039999998
Lick1,2,3836.7195200000001
Lick1,0,3837.0635200000002
Feed1,10428,3837.0755199999999
Lick1,1,3837.1655040000001
Lick1,2,3837.8515200000002
Lick1,0,3838.2975040000001
Feed1,10429,3838.3095039999998
Lick1,1,3838.5355199999999
Lick1,2,3838.877504
Lick1,0,3838.9815039999999
Feed1,10430,3838.993504
Lick1,1,3839.0835200000001
Lick1,2,3839.6315199999999
Lick1,0,3839.9715200000001
Feed1,10431,3839.9835200000002
Lick1,1,3840.073504
Lick1,2,3840.417504
Lick1,0,3840.5215039999998
Feed1,10432,3840.533504
Lick1,1,3840.861504
Lick1,2,3840.9635199999998
Lick1,0,3841.3075199999998
Feed1,10433,3841.31952
Lick1,1,3841.4095040000002
Lick1,2,3841.99152
Lick1,0,3842.0935039999999
Feed1,10434,3842.1055040000001
Lick1,1,3842.3355200000001
Lick1,2,3842.4695040000001
Lick1,0,3842.573504
Feed1,10435,3842.5855040000001
Lick1,1,3842.917504
Lick1,2,3843.0515519999999
Lick1,0,3843.1875519999999
Feed1,10436,3843.2035519999999
Lick1,1,3843.4295360000001
Lick1,2,3843.8395519999999
Lick1,0,3843.9415359999998
Feed1,10437,3843.9575359999999
Lick1,1,3845.0015360000002
Lick1,2,3845.2435519999999
Lick1,0,3845.3455359999998
Feed1,10438,3845.357536
Lick1,1,3845.9275520000001
Lick1,2,3846.337536
Lick1,0,3846.5795520000001
Feed1,10439,3846.5915519999999
Lick1,1,3846.6815360000001
Lick1,2,3846.9195519999998
Lick1,0,3847.0215360000002
Feed1,10440,3847.0335359999999
Lick1,1,3847.2255359999999
Lick1,2,3847.6715519999998
Lick1,0,3847.9095360000001
Feed1,10441,3847.9255360000002
Lick1,1,3848.5615360000002
Lick1,2,3848.835552
Lick1,0,3848.9375359999999
Feed1,10442,3848.9495360000001
Lick1,1,3849.281536
Lick1,2,3849.895552
Lick1,0,3850.239552
Feed1,10443,3850.2535360000002
Lick1,1,3850.7855359999999
Lick1,2,3850.8875520000001
Lick1,0,3851.3835519999998
Feed1,10444,3851.3995519999999
Lick1,1,3851.5055360000001
Lick1,2,3851.6075519999999
Lick1,0,3851.7435519999999
Feed1,10445,3851.7555520000001
Lick1,1,3851.9855360000001
Lick1,2,3852.1195520000001
Lick1,0,3852.395552
Feed1,10446,3852.4075520000001
Lick1,1,3852.4975359999999
Lick1,2,3852.9435520000002
Lick1,0,3853.8655359999998
Feed1,10447,3853.877536
